Subspace,Breakdown,Sig,Impact,Type,Breakdown_value
Mercedes-Benz;*;1992,Body,0.548217914,0.000262234,Point,sedan
Mercedes-Benz;*;1988,Body,0.548143936,0.000160426,Point,sedan
Mercedes-Benz;*;1986,Body,0.548097083,6.42E-05,Point,sedan
Mercedes-Benz;*;1980,Body,0.548118266,9.60E-05,Point,other
Mercedes-Benz;*;1979,Body,0.548094946,6.10E-05,Point,sedan
Mercedes-Benz;*;1985,Body,0.548188734,0.000201766,Point,sedan
Mercedes-Benz;*;1993,Body,0.548168596,0.000171532,Point,sedan
Mercedes-Benz;*;1969,Body,0.54834202,0.000431903,Point,sedan
Mercedes-Benz;*;1978,Body,0.548118455,9.63E-05,Point,sedan
Mercedes-Benz;*;1983,Body,0.548074067,2.96E-05,Point,sedan
Audi;*;1991,Body,0.548189548,0.000202988,Point,sedan
Audi;*;1999,Body,0.544937503,0.001113699,Point,sedan
Audi;*;2003,Body,0.538026462,0.002591429,Point,vagon
Audi;*;2007,Body,0.53983994,0.007946363,Point,crossover
Audi;*;2011,Body,0.546674309,0.00772384,Point,sedan
Audi;*;2016,Body,0.550932331,0.007823793,Point,crossover
Audi;*;1997,Body,0.548190882,0.000637383,Point,sedan
Audi;*;2006,Body,0.546594658,0.003204181,Point,sedan
Audi;*;2012,Body,0.543685106,0.009080696,Point,sedan
Audi;*;1994,Body,0.548129141,0.000128958,Point,sedan
Audi;*;2008,Body,0.540650296,0.005519827,Point,sedan
Audi;*;2001,Body,0.546685453,0.001124213,Point,sedan
Audi;*;2013,Body,0.535594978,0.012829719,Point,crossover
Audi;*;1998,Body,0.547933657,0.000906392,Point,sedan
Audi;*;2010,Body,0.546044658,0.009477317,Point,crossover
Audi;*;1989,Body,0.548140648,0.000129575,Point,sedan
Audi;*;2009,Body,0.548897077,0.004426452,Point,sedan
Audi;*;1996,Body,0.54841024,0.000746584,Point,sedan
Audi;*;2014,Body,0.54987829,0.009431756,Point,crossover
Audi;*;2000,Body,0.54504923,0.001298273,Point,sedan
Audi;*;2004,Body,0.542098666,0.001933709,Point,sedan
Audi;*;1987,Body,0.548143616,0.000134029,Point,sedan
Audi;*;1990,Body,0.548083109,8.64E-05,Point,other
Audi;*;2005,Body,0.547318259,0.001876363,Point,sedan
Audi;*;1995,Body,0.548196954,0.000214107,Point,sedan
Audi;*;2002,Body,0.546809743,0.001317181,Point,sedan
Audi;*;2015,Body,0.540083896,0.008285861,Point,crossover
Audi;*;1992,Body,0.548236819,0.000273958,Point,sedan
Audi;*;1988,Body,0.548131196,0.000115383,Point,sedan
Audi;*;1986,Body,0.548099541,6.79E-05,Point,sedan
Audi;*;1980,Body,0.548059271,7.40E-06,Point,sedan
Audi;*;1985,Body,0.548069567,2.29E-05,Point,sedan
Audi;*;1993,Body,0.548169336,0.000172643,Point,sedan
Toyota;*;1991,Body,0.548078991,6.42E-05,Point,other
Toyota;*;1999,Body,0.548149672,0.000768192,Point,crossover
Toyota;*;2003,Body,0.547669642,0.00208367,Point,crossover
Toyota;*;2007,Body,0.551362345,0.011085967,Point,sedan
Toyota;*;2011,Body,0.481887106,0.010585414,Point,crossover
Toyota;*;2016,Body,0.553550413,0.025662649,Point,crossover
Toyota;*;1997,Body,0.548126675,0.000108596,Point,crossover
Toyota;*;2006,Body,0.547656696,0.005358512,Point,crossover
Toyota;*;2012,Body,0.544607673,0.01428784,Point,crossover
Toyota;*;1994,Body,0.54806996,0.000413405,Point,crossover
Toyota;*;2008,Body,0.486089179,0.017381439,Point,crossover
Toyota;*;2001,Body,0.548260744,0.00066083,Point,crossover
Toyota;*;2013,Body,0.541737963,0.01612459,Point,crossover
Toyota;*;1998,Body,0.548106947,7.90E-05,Point,sedan
Toyota;*;2010,Body,0.548602848,0.006101715,Point,crossover
Toyota;*;1989,Body,0.548097075,9.75E-05,Point,vagon
Toyota;*;2009,Body,0.544626773,0.005703292,Point,crossover
Toyota;*;1996,Body,0.548087734,0.000230149,Point,crossover
Toyota;*;2014,Body,0.50834337,0.011445174,Point,crossover
Toyota;*;2000,Body,0.548217615,0.000897014,Point,crossover
Toyota;*;2004,Body,0.546147374,0.00227871,Point,crossover
Toyota;*;1987,Body,0.548087219,7.84E-05,Point,sedan
