project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2005-L01-A05-000-030,消防专业,2020/9/10 0:00,襄阳东风佳园小区,住宅,56,5,44,7
ZRH(ZB)-2005-L01-A05-000-030,电梯专业,2020/9/10 0:00,襄阳东风佳园小区,住宅,11,6,3,2
ZRH(ZB)-2005-L01-A05-000-030,电气专业,2020/9/10 0:00,襄阳东风佳园小区,住宅,2,0,2,0
ZRH(ZB)-2005-L01-A05-000-031,消防专业,2020/9/11 0:00,十堰东风阳光城,住宅,57,4,46,7
ZRH(ZB)-2005-L01-A05-000-031,电梯专业,2020/9/11 0:00,十堰东风阳光城,住宅,20,4,8,8
ZRH(ZB)-2005-L01-A05-000-031,电气专业,2020/9/11 0:00,十堰东风阳光城,住宅,18,9,9,0
ZRH(ZB)-2005-L01-A05-000-032,消防专业,2020/9/14 0:00,扬州橡树湾,住宅,40,4,30,6
ZRH(ZB)-2005-L01-A05-000-032,电梯专业,2020/9/14 0:00,扬州橡树湾,住宅,17,3,12,2
ZRH(ZB)-2005-L01-A05-000-032,电气专业,2020/9/14 0:00,扬州橡树湾,住宅,18,10,8,0
ZRH(ZB)-2005-L01-A05-000-033,消防专业,2020/9/15 0:00,南京幸福里,住宅,46,2,35,9
ZRH(ZB)-2005-L01-A05-000-033,电梯专业,2020/9/15 0:00,南京幸福里,住宅,12,2,10,0
ZRH(ZB)-2005-L01-A05-000-033,电气专业,2020/9/15 0:00,南京幸福里,住宅,17,6,11,0
ZRH(ZB)-2005-L01-A05-000-034,消防专业,2020/9/16 0:00,苏州橡树湾,住宅,34,7,24,3
ZRH(ZB)-2005-L01-A05-000-034,电梯专业,2020/9/16 0:00,苏州橡树湾,住宅,18,5,10,3
ZRH(ZB)-2005-L01-A05-000-034,电气专业,2020/9/16 0:00,苏州橡树湾,住宅,23,9,14,0
ZRH(ZB)-2005-L01-A05-000-035,消防专业,2020/9/18 0:00,无锡橡树湾,住宅,49,6,40,3
ZRH(ZB)-2005-L01-A05-000-035,电气专业,2020/9/18 0:00,无锡橡树湾,住宅,18,7,11,0
ZRH(ZB)-2005-L01-A05-000-036,消防专业,2020/9/25 0:00,重庆华润二十四城,住宅,49,2,43,4
ZRH(ZB)-2005-L01-A05-000-036,电梯专业,2020/9/25 0:00,重庆华润二十四城,住宅,23,5,15,3
ZRH(ZB)-2005-L01-A05-000-036,电气专业,2020/9/25 0:00,重庆华润二十四城,住宅,17,4,13,0
ZRH(ZB)-2005-L01-A05-000-037,消防专业,2020/9/27 0:00,重庆二十四城,住宅,47,3,38,6
ZRH(ZB)-2005-L01-A05-000-037,电梯专业,2020/9/27 0:00,重庆二十四城,住宅,17,3,9,5
ZRH(ZB)-2005-L01-A05-000-037,电气专业,2020/9/27 0:00,重庆二十四城,住宅,17,8,9,0
ZRH(ZB)-2005-L01-A05-000-038,消防专业,2020/9/28 0:00,重庆华润大厦（广场）物业服务中心,写字楼,39,3,34,2
ZRH(ZB)-2005-L01-A05-000-038,电梯专业,2020/9/28 0:00,重庆华润大厦（广场）物业服务中心,写字楼,20,5,15,0
ZRH(ZB)-2005-L01-A05-000-038,电气专业,2020/9/28 0:00,重庆华润大厦（广场）物业服务中心,写字楼,7,0,7,0
