project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2007-L01-A01-000-22,电气专业,2020/9/4 0:00,泸州万象汇,综合体,34,4,25,5
ZRH(ZB)-2007-L01-A01-000-23,消防专业,2020/9/8 0:00,合肥五彩城,综合体,89,14,70,5
ZRH(ZB)-2007-L01-A01-000-23,电梯专业,2020/9/8 0:00,合肥五彩城,综合体,15,5,10,0
ZRH(ZB)-2007-L01-A01-000-24,消防专业,2020/9/8 0:00,吴江万象汇,综合体,100,18,70,12
ZRH(ZB)-2007-L01-A01-000-24,燃气专业,2020/9/8 0:00,吴江万象汇,综合体,14,0,14,0
ZRH(ZB)-2007-L01-A01-000-24,电梯专业,2020/9/8 0:00,吴江万象汇,综合体,37,8,25,4
ZRH(ZB)-2007-L01-A01-000-24,电气专业,2020/9/8 0:00,吴江万象汇,综合体,52,3,44,5
ZRH(ZB)-2007-L01-A01-000-25,消防专业,2020/9/11 0:00,上海万象城,综合体,103,24,73,6
ZRH(ZB)-2007-L01-A01-000-25,电梯专业,2020/9/11 0:00,上海万象城,综合体,16,6,9,1
ZRH(ZB)-2007-L01-A01-000-26,消防专业,2020/9/11 0:00,杭州萧山万象汇,综合体,75,7,59,9
ZRH(ZB)-2007-L01-A01-000-26,燃气专业,2020/9/11 0:00,杭州萧山万象汇,综合体,8,0,8,0
ZRH(ZB)-2007-L01-A01-000-26,电梯专业,2020/9/11 0:00,杭州萧山万象汇,综合体,20,3,14,3
ZRH(ZB)-2007-L01-A01-000-26,电气专业,2020/9/11 0:00,杭州萧山万象汇,综合体,37,3,31,3
ZRH(ZB)-2007-L01-A01-000-27,消防专业,2020/9/15 0:00,柳州万象城,综合体,111,11,90,10
ZRH(ZB)-2007-L01-A01-000-27,电梯专业,2020/9/15 0:00,柳州万象城,综合体,13,3,9,1
ZRH(ZB)-2007-L01-A01-000-27,电气专业,2020/9/15 0:00,柳州万象城,综合体,70,14,47,9
ZRH(ZB)-2007-L01-A01-000-28,消防专业,2020/9/15 0:00,北京密云万象汇,综合体,81,17,58,6
ZRH(ZB)-2007-L01-A01-000-28,电梯专业,2020/9/15 0:00,北京密云万象汇,综合体,20,5,15,0
ZRH(ZB)-2007-L01-A01-000-28,电气专业,2020/9/15 0:00,北京密云万象汇,综合体,24,3,17,4
ZRH(ZB)-2007-L01-A01-000-29,消防专业,2020/9/19 0:00,淄博万象汇,综合体,102,17,76,9
ZRH(ZB)-2007-L01-A01-000-29,电梯专业,2020/9/19 0:00,淄博万象汇,综合体,23,8,14,1
ZRH(ZB)-2007-L01-A01-000-29,电气专业,2020/9/19 0:00,淄博万象汇,综合体,37,3,32,2
ZRH(ZB)-2007-L01-A01-000-30,消防专业,2020/9/19 0:00,西咸万象城,综合体,106,14,85,7
ZRH(ZB)-2007-L01-A01-000-30,电梯专业,2020/9/19 0:00,西咸万象城,综合体,13,5,7,1
ZRH(ZB)-2007-L01-A01-000-31,消防专业,2020/9/23 0:00,沈阳铁西万象汇,综合体,109,18,81,10
ZRH(ZB)-2007-L01-A01-000-31,电梯专业,2020/9/23 0:00,沈阳铁西万象汇,综合体,17,7,10,0
ZRH(ZB)-2007-L01-A01-000-32,消防专业,2020/9/23 0:00,济南万象城,综合体,67,18,47,2
ZRH(ZB)-2007-L01-A01-000-32,电梯专业,2020/9/23 0:00,济南万象城,综合体,25,6,18,1
ZRH(ZB)-2007-L01-A01-000-32,电气专业,2020/9/23 0:00,济南万象城,综合体,32,2,29,1
ZRH(ZB)-2007-L01-A01-000-33,消防专业,2020/9/29 0:00,北京五彩城,综合体,89,16,67,6
ZRH(ZB)-2007-L01-A01-000-33,电梯专业,2020/9/29 0:00,北京五彩城,综合体,33,10,22,1
ZRH(ZB)-2007-L01-A01-000-33,电气专业,2020/9/29 0:00,北京五彩城,综合体,27,2,22,3
ZRH(ZB)-2007-L01-A01-000-34,消防专业,2020/9/29 0:00,温州万象城,综合体,51,11,36,4
ZRH(ZB)-2007-L01-A01-000-34,电梯专业,2020/9/29 0:00,温州万象城,综合体,17,4,12,1
ZRH(ZB)-2007-L01-A01-000-35,消防专业,2020/10/12 0:00,北京凤凰汇,综合体,60,11,40,9
ZRH(ZB)-2007-L01-A01-000-35,电梯专业,2020/10/12 0:00,北京凤凰汇,综合体,35,11,20,4
ZRH(ZB)-2007-L01-A01-000-35,电气专业,2020/10/12 0:00,北京凤凰汇,综合体,37,4,30,3
ZRH(ZB)-2007-L01-A01-000-36,消防专业,2020/10/12 0:00,长沙星沙万象汇,综合体,26,8,17,1
ZRH(ZB)-2007-L01-A01-000-36,电梯专业,2020/10/12 0:00,长沙星沙万象汇,综合体,15,4,10,1
ZRH(ZB)-2007-L01-A01-000-37,消防专业,2020/10/16 0:00,哈尔滨万象汇,综合体,150,10,109,31
ZRH(ZB)-2007-L01-A01-000-37,电梯专业,2020/10/16 0:00,哈尔滨万象汇,综合体,59,24,31,4
ZRH(ZB)-2007-L01-A01-000-37,电气专业,2020/10/16 0:00,哈尔滨万象汇,综合体,36,1,32,3
ZRH(ZB)-2007-L01-A01-000-38,消防专业,2020/10/15 0:00,海口N次方,综合体,92,13,54,25
ZRH(ZB)-2007-L01-A01-000-38,电梯专业,2020/10/15 0:00,海口N次方,综合体,15,4,7,4
ZRH(ZB)-2007-L01-A01-000-39,消防专业,2020/10/20 0:00,临沂万象汇,综合体,220,20,176,24
ZRH(ZB)-2007-L01-A01-000-39,电梯专业,2020/10/20 0:00,临沂万象汇,综合体,31,9,22,0
ZRH(ZB)-2007-L01-A01-000-39,电气专业,2020/10/20 0:00,临沂万象汇,综合体,43,2,36,5
ZRH(ZB)-2007-L01-A01-000-40,消防专业,2020/10/20 0:00,重庆万象城,综合体,84,14,60,10
ZRH(ZB)-2007-L01-A01-000-40,电梯专业,2020/10/20 0:00,重庆万象城,综合体,19,6,13,0
ZRH(ZB)-2007-L01-A01-000-41,消防专业,2020/10/24 0:00,南宁万象城,综合体,43,4,37,2
ZRH(ZB)-2007-L01-A01-000-41,电梯专业,2020/10/24 0:00,南宁万象城,综合体,15,6,8,1
ZRH(ZB)-2007-L01-A01-000-42,消防专业,2020/10/24 0:00,南通万象城,综合体,83,13,60,10
ZRH(ZB)-2007-L01-A01-000-42,电梯专业,2020/10/24 0:00,南通万象城,综合体,30,12,18,0
ZRH(ZB)-2007-L01-A01-000-42,电气专业,2020/10/24 0:00,南通万象城,综合体,36,5,29,2
ZRH(ZB)-2007-L01-A01-000-43,消防专业,2020/10/28 0:00,扬州万象汇,综合体,120,11,97,12
ZRH(ZB)-2007-L01-A01-000-43,电梯专业,2020/10/28 0:00,扬州万象汇,综合体,42,5,29,8
ZRH(ZB)-2007-L01-A01-000-44,消防专业,2020/10/28 0:00,昆山万象汇,综合体,43,4,36,3
ZRH(ZB)-2007-L01-A01-000-44,电梯专业,2020/10/28 0:00,昆山万象汇,综合体,12,2,10,0
ZRH(ZB)-2007-L01-A01-000-44,电气专业,2020/10/28 0:00,昆山万象汇,综合体,35,2,31,2
ZRH(ZB)-2007-L01-A01-000-45,消防专业,2020/10/31 0:00,太原万象城,综合体,165,41,103,21
ZRH(ZB)-2007-L01-A01-000-45,电梯专业,2020/10/31 0:00,太原万象城,综合体,16,3,13,0
ZRH(ZB)-2007-L01-A01-000-45,电气专业,2020/10/31 0:00,太原万象城,综合体,45,4,35,6
ZRH(ZB)-2007-L01-A01-000-46,消防专业,2020/11/6 0:00,鞍山万象汇,综合体,90,11,73,6
ZRH(ZB)-2007-L01-A01-000-46,电梯专业,2020/11/6 0:00,鞍山万象汇,综合体,21,3,17,1
ZRH(ZB)-2007-L01-A01-000-47,消防专业,2020/11/10 0:00,合肥庐阳万象汇,综合体,83,9,68,6
ZRH(ZB)-2007-L01-A01-000-47,电梯专业,2020/11/10 0:00,合肥庐阳万象汇,综合体,15,3,11,1
ZRH(ZB)-2007-L01-A01-000-48,消防专业,2020/11/11 0:00,深圳湾万象城,综合体,49,8,38,3
ZRH(ZB)-2007-L01-A01-000-48,电梯专业,2020/11/11 0:00,深圳湾万象城,综合体,33,5,27,1
ZRH(ZB)-2007-L01-A01-000-48,电气专业,2020/11/11 0:00,深圳湾万象城,综合体,39,2,34,3
ZRH(ZB)-2007-L01-A01-000-49,消防专业,2020/11/14 0:00,上海时代广场,综合体,97,7,69,21
ZRH(ZB)-2007-L01-A01-000-49,燃气专业,2020/11/14 0:00,上海时代广场,综合体,2,0,1,1
ZRH(ZB)-2007-L01-A01-000-49,电梯专业,2020/11/14 0:00,上海时代广场,综合体,18,7,5,6
ZRH(ZB)-2007-L01-A01-000-49,电气专业,2020/11/14 0:00,上海时代广场,综合体,40,1,32,7
ZRH(ZB)-2007-L01-A01-000-50,消防专业,2020/11/18 0:00,桂林万象城,综合体,76,10,58,8
ZRH(ZB)-2007-L01-A01-000-50,电梯专业,2020/11/18 0:00,桂林万象城,综合体,22,7,12,3
ZRH(ZB)-2007-L01-A01-000-50,电气专业,2020/11/18 0:00,桂林万象城,综合体,40,1,32,7
ZRH(ZB)-2007-L01-A01-000-51,消防专业,2020/11/25 0:00,成都万象城,综合体,29,2,17,10
ZRH(ZB)-2007-L01-A01-000-51,电梯专业,2020/11/25 0:00,成都万象城,综合体,16,2,13,1
ZRH(ZB)-2007-L01-A01-000-52,消防专业,2020/11/27 0:00,厦门万象城,综合体,116,19,81,16
ZRH(ZB)-2007-L01-A01-000-52,燃气专业,2020/11/27 0:00,厦门万象城,综合体,15,1,12,2
ZRH(ZB)-2007-L01-A01-000-52,电气专业,2020/11/27 0:00,厦门万象城,综合体,33,3,25,5
ZRH(ZB)-2007-L01-A03-000-01,消防专业,2020/7/17 0:00,长沙星沙万象汇,综合体,140,24,104,12
ZRH(ZB)-2007-L01-A03-000-01,燃气专业,2020/7/17 0:00,长沙星沙万象汇,综合体,33,6,25,2
ZRH(ZB)-2007-L01-A03-000-01,电梯专业,2020/7/17 0:00,长沙星沙万象汇,综合体,47,13,30,4
ZRH(ZB)-2007-L01-A03-000-01,电气专业,2020/7/17 0:00,长沙星沙万象汇,综合体,62,4,48,10
ZRH(ZB)-2007-L01-A03-000-02,消防专业,2020/7/24 0:00,合肥五彩城,综合体,108,26,70,12
ZRH(ZB)-2007-L01-A03-000-02,燃气专业,2020/7/24 0:00,合肥五彩城,综合体,28,5,20,3
ZRH(ZB)-2007-L01-A03-000-02,电梯专业,2020/7/24 0:00,合肥五彩城,综合体,18,8,10,0
ZRH(ZB)-2007-L01-A03-000-02,电气专业,2020/7/24 0:00,合肥五彩城,综合体,41,8,29,4
ZRH(ZB)-2007-L01-A03-000-03,消防专业,2020/7/24 0:00,赣州万象城,综合体,88,11,65,12
ZRH(ZB)-2007-L01-A03-000-03,燃气专业,2020/7/24 0:00,赣州万象城,综合体,31,4,23,4
ZRH(ZB)-2007-L01-A03-000-03,电梯专业,2020/7/24 0:00,赣州万象城,综合体,34,12,19,3
ZRH(ZB)-2007-L01-A03-000-03,电气专业,2020/7/24 0:00,赣州万象城,综合体,65,6,51,8
ZRH(ZB)-2007-L01-A03-000-04,消防专业,2020/7/30 0:00,合肥庐阳万象汇,综合体,306,56,207,43
ZRH(ZB)-2007-L01-A03-000-04,燃气专业,2020/7/30 0:00,合肥庐阳万象汇,综合体,25,4,19,2
ZRH(ZB)-2007-L01-A03-000-04,电梯专业,2020/7/30 0:00,合肥庐阳万象汇,综合体,55,13,35,7
ZRH(ZB)-2007-L01-A03-000-04,电气专业,2020/7/30 0:00,合肥庐阳万象汇,综合体,98,7,76,15
ZRH(ZB)-2007-L01-A03-000-05,消防专业,2020/8/20 0:00,有巢公馆天津假日,长租公寓,42,5,28,9
ZRH(ZB)-2007-L01-A03-000-05,电梯专业,2020/8/20 0:00,有巢公馆天津假日,长租公寓,21,8,8,5
ZRH(ZB)-2007-L01-A03-000-05,电气专业,2020/8/20 0:00,有巢公馆天津假日,长租公寓,36,2,29,5
ZRH(ZB)-2007-L01-A04-000-000,消防专业,2020/12/11 0:00,北京五彩城,综合体,103,19,77,7
ZRH(ZB)-2007-L01-A04-000-000,燃气专业,2020/12/11 0:00,北京五彩城,综合体,6,0,5,1
ZRH(ZB)-2007-L01-A04-000-000,电气专业,2020/12/11 0:00,北京五彩城,综合体,19,4,12,3
ZRH(ZB)-2007-L01-A04-000-01,消防专业,2020/7/21 0:00,宁波万象汇,综合体,126,12,84,30
ZRH(ZB)-2007-L01-A04-000-01,燃气专业,2020/7/21 0:00,宁波万象汇,综合体,12,2,8,2
ZRH(ZB)-2007-L01-A04-000-01,电梯专业,2020/7/21 0:00,宁波万象汇,综合体,52,12,29,11
ZRH(ZB)-2007-L01-A04-000-01,电气专业,2020/7/21 0:00,宁波万象汇,综合体,64,4,53,7
ZRH(ZB)-2007-L01-A04-000-016,消防专业,2020/12/4 0:00,杭州萧山万象汇,综合体,126,17,98,11
ZRH(ZB)-2007-L01-A04-000-016,燃气专业,2020/12/4 0:00,杭州萧山万象汇,综合体,4,1,3,0
ZRH(ZB)-2007-L01-A04-000-016,电气专业,2020/12/4 0:00,杭州萧山万象汇,综合体,33,3,25,5
ZRH(ZB)-2007-L01-A04-000-02,消防专业,2020/8/21 0:00,福州仓山万象里,综合体,89,24,53,12
ZRH(ZB)-2007-L01-A04-000-02,燃气专业,2020/8/21 0:00,福州仓山万象里,综合体,7,4,2,1
ZRH(ZB)-2007-L01-A04-000-03,消防专业,2020/8/21 0:00,扬州万象汇,综合体,138,32,94,12
ZRH(ZB)-2007-L01-A04-000-03,燃气专业,2020/8/21 0:00,扬州万象汇,综合体,3,1,2,0
ZRH(ZB)-2007-L01-A04-000-03,电气专业,2020/8/21 0:00,扬州万象汇,综合体,27,4,22,1
ZRH(ZB)-2007-L01-A04-000-04,消防专业,2020/8/28 0:00,桂林万象城,综合体,138,32,94,12
ZRH(ZB)-2007-L01-A04-000-04,电气专业,2020/8/28 0:00,桂林万象城,综合体,28,1,22,5
ZRH(ZB)-2007-L01-A04-000-05,消防专业,2020/8/29 0:00,济南万象城,综合体,73,18,51,4
ZRH(ZB)-2007-L01-A04-000-06,消防专业,2020/9/4 0:00,鞍山万象汇,综合体,85,22,55,8
ZRH(ZB)-2007-L01-A04-000-06,电气专业,2020/9/4 0:00,鞍山万象汇,综合体,26,5,16,5
ZRH(ZB)-2007-L01-A04-000-07,消防专业,2020/9/4 0:00,合肥君悦酒店,酒店,41,14,22,5
ZRH(ZB)-2007-L01-A04-000-08,消防专业,2020/9/25 0:00,合肥君悦酒店,酒店,95,16,56,23
ZRH(ZB)-2007-L01-A04-000-08,电气专业,2020/9/25 0:00,合肥君悦酒店,酒店,43,5,30,8
ZRH(ZB)-2007-L01-A04-000-09,消防专业,2020/9/11 0:00,重庆万象城,综合体,86,15,66,5
ZRH(ZB)-2007-L01-A04-000-09,燃气专业,2020/9/11 0:00,重庆万象城,综合体,11,3,8,0
ZRH(ZB)-2007-L01-A04-000-09,电气专业,2020/9/11 0:00,重庆万象城,综合体,17,1,14,2
ZRH(ZB)-2007-L01-A04-000-10,消防专业,2020/9/18 0:00,桂林万象城,综合体,47,4,28,15
ZRH(ZB)-2007-L01-A04-000-11,消防专业,2020/9/25 0:00,石家庄万象城,综合体,78,12,58,8
ZRH(ZB)-2007-L01-A04-000-11,电气专业,2020/9/25 0:00,石家庄万象城,综合体,29,4,22,3
ZRH(ZB)-2007-L01-A04-000-13,消防专业,2020/11/13 0:00,大连乐都汇,综合体,111,30,72,9
ZRH(ZB)-2007-L01-A04-000-14,消防专业,2020/11/13 0:00,上海静安体育中心,会展,74,13,50,11
ZRH(ZB)-2007-L01-A04-000-14,燃气专业,2020/11/13 0:00,上海静安体育中心,会展,2,0,2,0
ZRH(ZB)-2007-L01-A04-000-15,消防专业,2020/11/20 0:00,合肥欢乐颂,综合体,82,14,59,9
ZRH(ZB)-2007-L01-A04-000-15,燃气专业,2020/11/20 0:00,合肥欢乐颂,综合体,8,1,7,0
ZRH(ZB)-2007-L01-A04-000-17,消防专业,2020/11/27 0:00,上海万象城,综合体,62,16,41,5
ZRH(ZB)-2007-L01-A04-000-17,电气专业,2020/11/27 0:00,上海万象城,综合体,41,4,34,3
ZRH(ZB)-2007-L01-A04-008,消防专业,2020/9/11 0:00,合肥庐阳万象汇,综合体,27,7,17,3
ZRH(ZB)-2007-L01-B01-000-01,投控综合专用,2020/8/5 0:00,统建办公楼,NONE,13,3,9,1
ZRH(ZB)-2007-L01-B01-000-01,消防专业,2020/8/5 0:00,统建办公楼,NONE,31,1,28,2
ZRH(ZB)-2007-L01-B01-000-01,燃气专业,2020/8/5 0:00,统建办公楼,NONE,1,0,1,0
ZRH(ZB)-2007-L01-B01-000-01,电梯专业,2020/8/5 0:00,统建办公楼,NONE,9,3,5,1
ZRH(ZB)-2007-L01-B01-000-01,电气专业,2020/8/5 0:00,统建办公楼,NONE,110,20,71,19
ZRH(ZB)-2007-L01-B01-000-04,投控综合专用,2020/8/6 0:00,宝华大厦,写字楼,6,1,3,2
ZRH(ZB)-2007-L01-B01-000-04,消防专业,2020/8/6 0:00,宝华大厦,写字楼,30,8,20,2
ZRH(ZB)-2007-L01-B01-000-04,电梯专业,2020/8/6 0:00,宝华大厦,写字楼,72,25,40,7
ZRH(ZB)-2007-L01-B01-000-04,电气专业,2020/8/6 0:00,宝华大厦,写字楼,14,2,10,2
ZRH(ZB)-2007-L01-B01-000-08,投控综合专用,2020/8/7 0:00,绿化大厦,写字楼,11,3,5,3
ZRH(ZB)-2007-L01-B01-000-08,消防专业,2020/8/7 0:00,绿化大厦,写字楼,30,13,15,2
ZRH(ZB)-2007-L01-B01-000-08,燃气专业,2020/8/7 0:00,绿化大厦,写字楼,5,2,1,2
ZRH(ZB)-2007-L01-B01-000-08,电梯专业,2020/8/7 0:00,绿化大厦,写字楼,17,4,12,1
ZRH(ZB)-2007-L01-B01-000-08,电气专业,2020/8/7 0:00,绿化大厦,写字楼,22,4,17,1
ZRH(ZB)-2007-L01-B01-000-11,投控综合专用,2020/8/10 0:00,公汽公司单身公寓第7栋,长租公寓,1,0,1,0
ZRH(ZB)-2007-L01-B01-000-11,消防专业,2020/8/10 0:00,公汽公司单身公寓第7栋,长租公寓,13,4,8,1
ZRH(ZB)-2007-L01-B01-000-11,电梯专业,2020/8/10 0:00,公汽公司单身公寓第7栋,长租公寓,7,4,3,0
ZRH(ZB)-2007-L01-B01-000-11,电气专业,2020/8/10 0:00,公汽公司单身公寓第7栋,长租公寓,11,1,9,1
ZRH(ZB)-2007-L01-B01-000-12,投控综合专用,2020/8/11 0:00,深纺大厦,写字楼,25,9,14,2
ZRH(ZB)-2007-L01-B01-000-12,消防专业,2020/8/11 0:00,深纺大厦,写字楼,35,10,21,4
ZRH(ZB)-2007-L01-B01-000-12,电梯专业,2020/8/11 0:00,深纺大厦,写字楼,25,8,15,2
ZRH(ZB)-2007-L01-B01-000-12,电气专业,2020/8/11 0:00,深纺大厦,写字楼,17,2,12,3
ZRH(ZB)-2007-L01-B01-000-14,投控综合专用,2020/8/13 0:00,深房广场,NONE,20,7,12,1
ZRH(ZB)-2007-L01-B01-000-14,消防专业,2020/8/13 0:00,深房广场,NONE,85,25,57,3
ZRH(ZB)-2007-L01-B01-000-14,电梯专业,2020/8/13 0:00,深房广场,NONE,19,2,16,1
ZRH(ZB)-2007-L01-B01-000-14,电气专业,2020/8/13 0:00,深房广场,NONE,26,2,18,6
ZRH(ZB)-2007-L01-B01-000-18,投控综合专用,2020/8/17 0:00,腾飞工业大厦B座,NONE,10,4,5,1
ZRH(ZB)-2007-L01-B01-000-18,消防专业,2020/8/17 0:00,腾飞工业大厦B座,NONE,34,13,20,1
ZRH(ZB)-2007-L01-B01-000-18,电梯专业,2020/8/17 0:00,腾飞工业大厦B座,NONE,13,4,9,0
ZRH(ZB)-2007-L01-B01-000-18,电气专业,2020/8/17 0:00,腾飞工业大厦B座,NONE,21,3,15,3
ZRH(ZB)-2007-L01-B01-000-21,投控综合专用,2020/8/18 0:00,办公楼,写字楼,1,1,0,0
ZRH(ZB)-2007-L01-B01-000-21,消防专业,2020/8/18 0:00,办公楼,写字楼,29,7,21,1
ZRH(ZB)-2007-L01-B01-000-21,电梯专业,2020/8/18 0:00,办公楼,写字楼,10,1,8,1
ZRH(ZB)-2007-L01-B01-000-21,电气专业,2020/8/18 0:00,办公楼,写字楼,21,2,17,2
ZRH(ZB)-2007-L01-B01-000-24,投控综合专用,2020/9/1 0:00,深圳湾科技生态园,NONE,15,8,7,0
ZRH(ZB)-2007-L01-B01-000-24,消防专业,2020/9/1 0:00,深圳湾科技生态园,NONE,86,21,52,13
ZRH(ZB)-2007-L01-B01-000-24,电梯专业,2020/9/1 0:00,深圳湾科技生态园,NONE,44,11,29,4
ZRH(ZB)-2007-L01-B01-000-24,电气专业,2020/9/1 0:00,深圳湾科技生态园,NONE,30,6,16,8
ZRH(ZB)-2007-L01-B01-000-27,消防专业,2020/8/24 0:00,深圳会展中心,会展,41,9,25,7
ZRH(ZB)-2007-L01-B01-000-27,电梯专业,2020/8/24 0:00,深圳会展中心,会展,18,6,11,1
ZRH(ZB)-2007-L01-B01-000-27,电气专业,2020/8/24 0:00,深圳会展中心,会展,19,2,16,1
ZRH(ZB)-2007-L01-B01-000-28,消防专业,2020/9/8 0:00,体育中心运营管理有限公司,NONE,30,11,15,4
ZRH(ZB)-2007-L01-B01-000-28,电梯专业,2020/9/8 0:00,体育中心运营管理有限公司,NONE,9,2,6,1
ZRH(ZB)-2007-L01-B01-000-28,电气专业,2020/9/8 0:00,体育中心运营管理有限公司,NONE,20,2,12,6
ZRH(ZB)-2007-L01-B01-000-29,消防专业,2020/8/19 0:00,国际人才大厦,写字楼,33,6,20,7
ZRH(ZB)-2007-L01-B01-000-29,电梯专业,2020/8/19 0:00,国际人才大厦,写字楼,12,2,10,0
ZRH(ZB)-2007-L01-B01-000-29,电气专业,2020/8/19 0:00,国际人才大厦,写字楼,21,1,14,6
ZRH(ZB)-2007-L01-B01-000-32,消防专业,2020/8/20 0:00,航空大厦,写字楼,4,1,3,0
ZRH(ZB)-2007-L01-B01-000-32,电气专业,2020/8/20 0:00,航空大厦,写字楼,9,2,7,0
ZRH(ZB)-2007-L01-B01-000-33,消防专业,2020/8/27 0:00,五洲宾馆,NONE,19,6,10,3
ZRH(ZB)-2007-L01-B01-000-33,电梯专业,2020/8/27 0:00,五洲宾馆,NONE,20,6,12,2
ZRH(ZB)-2007-L01-B01-000-33,电气专业,2020/8/27 0:00,五洲宾馆,NONE,16,2,12,2
ZRH(ZB)-2007-L01-B01-000-37,投控综合专用,2020/8/25 0:00,迎宾馆,NONE,1,0,0,1
ZRH(ZB)-2007-L01-B01-000-37,消防专业,2020/8/25 0:00,迎宾馆,NONE,36,11,22,3
ZRH(ZB)-2007-L01-B01-000-37,电梯专业,2020/8/25 0:00,迎宾馆,NONE,18,3,13,2
ZRH(ZB)-2007-L01-B01-000-37,电气专业,2020/8/25 0:00,迎宾馆,NONE,19,4,10,5
ZRH(ZB)-2007-L01-B01-000-38,消防专业,2020/8/27 0:00,人民大厦,写字楼,33,8,22,3
ZRH(ZB)-2007-L01-B01-000-38,电梯专业,2020/8/27 0:00,人民大厦,写字楼,20,7,9,4
ZRH(ZB)-2007-L01-B01-000-38,电气专业,2020/8/27 0:00,人民大厦,写字楼,20,1,15,4
ZRH(ZB)-2007-L01-B01-000-39,消防专业,2020/8/31 0:00,投资大厦,写字楼,27,8,17,2
ZRH(ZB)-2007-L01-B01-000-39,电梯专业,2020/8/31 0:00,投资大厦,写字楼,17,4,12,1
ZRH(ZB)-2007-L01-B01-000-39,电气专业,2020/8/31 0:00,投资大厦,写字楼,18,3,13,2
ZRH(ZB)-2007-L01-B01-000-43,消防专业,2020/8/26 0:00,银湖会议中心,会展,16,6,9,1
ZRH(ZB)-2007-L01-B01-000-43,电梯专业,2020/8/26 0:00,银湖会议中心,会展,17,3,12,2
ZRH(ZB)-2007-L01-B01-000-43,电气专业,2020/8/26 0:00,银湖会议中心,会展,15,3,8,4
ZRH(ZB)-2007-L01-B01-000-47,消防专业,2020/9/7 0:00,同乐大厦,NONE,28,7,19,2
ZRH(ZB)-2007-L01-B01-000-47,电梯专业,2020/9/7 0:00,同乐大厦,NONE,27,6,16,5
ZRH(ZB)-2007-L01-B01-000-47,电气专业,2020/9/7 0:00,同乐大厦,NONE,17,1,12,4
ZRH(ZB)-2007-L01-B01-000-50,投控综合专用,2020/8/21 0:00,美荔园大厦,写字楼,2,0,1,1
ZRH(ZB)-2007-L01-B01-000-50,消防专业,2020/8/21 0:00,美荔园大厦,写字楼,23,7,14,2
ZRH(ZB)-2007-L01-B01-000-50,电梯专业,2020/8/21 0:00,美荔园大厦,写字楼,7,1,6,0
ZRH(ZB)-2007-L01-B01-000-50,电气专业,2020/8/21 0:00,美荔园大厦,写字楼,22,3,18,1
ZRH(ZB)-2007-L01-B01-000-53,消防专业,2020/9/9 0:00,城建滨江综合楼,NONE,25,8,14,3
ZRH(ZB)-2007-L01-B01-000-53,电梯专业,2020/9/9 0:00,城建滨江综合楼,NONE,10,6,4,0
ZRH(ZB)-2007-L01-B01-000-53,电气专业,2020/9/9 0:00,城建滨江综合楼,NONE,21,2,16,3
ZRH(ZB)-2007-L01-B01-000-61,消防专业,2020/10/13 0:00,外贸集团写字楼,写字楼,8,1,5,2
ZRH(ZB)-2007-L01-B01-000-61,电梯专业,2020/10/13 0:00,外贸集团写字楼,写字楼,29,11,14,4
ZRH(ZB)-2007-L01-B01-000-61,电气专业,2020/10/13 0:00,外贸集团写字楼,写字楼,204,21,166,17
ZRH(ZB)-2007-L01-B01-000-62,消防专业,2020/10/20 0:00,龙城工业区,园区,44,7,27,10
ZRH(ZB)-2007-L01-B01-000-62,电梯专业,2020/10/20 0:00,龙城工业区,园区,27,2,18,7
ZRH(ZB)-2007-L01-B01-000-62,电气专业,2020/10/20 0:00,龙城工业区,园区,20,2,16,2
ZRH(ZB)-2007-L01-B01-000-64,消防专业,2020/10/23 0:00,生物医药创新产业园,NONE,41,5,25,11
ZRH(ZB)-2007-L01-B01-000-64,电梯专业,2020/10/23 0:00,生物医药创新产业园,NONE,17,6,7,4
ZRH(ZB)-2007-L01-B01-000-64,电气专业,2020/10/23 0:00,生物医药创新产业园,NONE,18,5,8,5
ZRH(ZB)-2007-L01-B01-000-65,消防专业,2020/10/26 0:00,深圳深爱半导体股份有限公司,NONE,27,4,15,8
ZRH(ZB)-2007-L01-B01-000-65,电梯专业,2020/10/26 0:00,深圳深爱半导体股份有限公司,NONE,23,4,15,4
ZRH(ZB)-2007-L01-B01-000-65,电气专业,2020/10/26 0:00,深圳深爱半导体股份有限公司,NONE,12,0,11,1
ZRH(ZB)-2007-L01-B01-000-66,消防专业,2020/10/27 0:00,迎宾馆,NONE,29,3,21,5
ZRH(ZB)-2007-L01-B01-000-66,电梯专业,2020/10/27 0:00,迎宾馆,NONE,12,4,8,0
ZRH(ZB)-2007-L01-B01-000-66,电气专业,2020/10/27 0:00,迎宾馆,NONE,42,3,33,6
ZRH(ZB)-2007-L01-B01-000-67,消防专业,2020/10/28 0:00,银湖会议中心,会展,22,3,14,5
ZRH(ZB)-2007-L01-B01-000-67,电梯专业,2020/10/28 0:00,银湖会议中心,会展,12,3,8,1
ZRH(ZB)-2007-L01-B01-000-67,电气专业,2020/10/28 0:00,银湖会议中心,会展,9,1,6,2
ZRH(ZB)-2007-L01-B01-000-68,消防专业,2020/10/29 0:00,金城大厦,写字楼,29,2,23,4
ZRH(ZB)-2007-L01-B01-000-68,电梯专业,2020/10/29 0:00,金城大厦,写字楼,17,3,13,1
