Registration,Engine Type,Body,Brand,Year,EngineV,Model,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
yes,*,other,*,*,*,*,Year,-1,0.5078543318189941,0.09217391304347826,trend,shape,0.04681092101983771,Price
*,*,*,*,*,2.5,*,Year,-1,0.6685004413368538,0.08422360248447205,trend,shape,0.056303515431849305,Price
*,*,*,Toyota,*,*,*,Year,-1,0.5965922893912743,0.1267080745341615,trend,shape,0.07559306027069562,Price
*,*,vagon,*,*,*,*,Year,-1,0.5030500349324214,0.09416149068322982,trend,shape,0.04736794117748763,Price
*,*,*,Audi,*,*,*,Year,-1,0.7179390117122944,0.10434782608695652,trend,shape,0.07491537513519593,Price
yes,*,van,*,*,*,*,Year,-1,0.6050983748550172,0.1498136645962733,trend,shape,0.09065200497827959,Price
yes,Diesel,*,Volkswagen,*,*,*,Year,-1,0.660241658072054,0.11329192546583851,trend,shape,0.07480004871574078,Price
yes,*,*,Toyota,*,*,*,Year,-1,0.5954362513733706,0.12571428571428572,trend,shape,0.07485484302979517,Price
yes,*,*,BMW,*,*,*,Year,-1,0.5887638117236628,0.13291925465838508,trend,shape,0.07825804702413902,Price
*,Petrol,*,BMW,*,*,*,Year,-1,0.6298160121502591,0.07602484472049689,trend,shape,0.04788166452620603,Price
yes,*,*,*,*,3.0,*,Year,-1,0.6435164266857211,0.11204968944099379,trend,shape,0.0721058157603131,Price
*,Diesel,sedan,*,*,*,*,Year,-1,0.5698642070117975,0.10086956521739131,trend,shape,0.05748195479423349,Price
yes,Diesel,van,*,*,*,*,Year,-1,0.663029750469526,0.13590062111801243,trend,shape,0.09010615490852937,Price
yes,*,sedan,*,*,*,*,Year,-1,0.5978420483291615,0.337888198757764,trend,shape,0.2020037728515925,Price
*,*,*,BMW,*,*,*,Year,-1,0.6040053031853156,0.15900621118012423,trend,shape,0.09604059479219926,Price
*,*,sedan,BMW,*,*,*,Year,-1,0.644215037744867,0.08968944099378882,trend,shape,0.05777928661512969,Price
*,*,*,Mercedes-Benz,*,*,*,Year,-1,0.3644871943607061,0.204472049689441,trend,shape,0.07452744371648723,Price
*,Diesel,van,*,*,*,*,Year,-1,0.6626988696831126,0.1408695652173913,trend,shape,0.09335410164231674,Price
*,*,*,*,*,*,*,Year,-1,0.5519255528314191,1.0,trend,shape,0.5519255528314191,Price
*,*,*,*,*,3.0,*,Year,-1,0.6485141998175158,0.12198757763975156,trend,shape,0.07911067630072056,Price
*,Petrol,*,*,*,*,*,Year,-1,0.5136496269165995,0.36472049689440994,trend,shape,0.18733854715865048,Price
yes,*,crossover,*,*,*,*,Year,-1,0.42133775874713786,0.19751552795031055,trend,shape,0.08322074986434151,Price
*,*,sedan,*,*,*,*,Year,-1,0.61083846430088,0.38111801242236026,trend,shape,0.23280154142547824,Price
yes,Petrol,*,*,*,*,*,Year,-1,0.5098167227894925,0.34608695652173915,trend,shape,0.17644091797410263,Price
*,*,*,Volkswagen,*,*,*,Year,-1,0.6189690029692807,0.2186335403726708,trend,shape,0.13532738450011603,Price
yes,Diesel,*,*,*,*,*,Year,-1,0.535383793475896,0.39850931677018636,trend,shape,0.21335542974790989,Price
*,Diesel,*,*,*,*,*,Year,-1,0.5474480839710059,0.46236024844720497,trend,shape,0.2531182321167806,Price
*,*,crossover,*,*,*,*,Year,-1,0.4239693342972606,0.20472049689440994,trend,shape,0.08679521278532738,Price
*,*,*,*,*,2.0,*,Year,-1,0.5114139882825379,0.1711801242236025,trend,shape,0.08754391004389282,Price
yes,*,*,*,*,2.0,*,Year,-1,0.5053886611219253,0.15751552795031057,trend,shape,0.07960656177672065,Price
*,*,van,*,*,*,*,Year,-1,0.6057391165800665,0.155527950310559,trend,shape,0.09420936322462649,Price
*,Diesel,*,Volkswagen,*,*,*,Year,-1,0.6771628400063588,0.1239751552795031,trend,shape,0.08395136823929765,Price
