Year,Brand,Category,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
*,Mazda,SUV,Year,-1,0.038017469445616126,0.01818181818181818,trend,shape,0.0006912267171930204,Sales
*,BMW,SUV,Year,-1,0.015963763102434303,0.05454545454545454,trend,shape,0.0008707507146782347,Sales
*,*,SUV,Year,-1,0.00218360182005084,0.4,trend,shape,0.000873440728020336,Sales
*,GMC,*,Year,-1,0.047839406599595624,0.10909090909090909,trend,shape,0.005218844356319523,Sales
*,Mazda,MPV,Year,-1,0.049889673834931925,0.01818181818181818,trend,shape,0.000907084978816944,Sales
*,Ford,Compact,Year,-1,0.05167107801893045,0.01818181818181818,trend,shape,0.0009394741457987354,Sales
*,Ford,SUV,Year,-1,0.01304006927482082,0.07272727272727272,trend,shape,0.0009483686745324233,Sales
*,Honda,SUV,Year,-1,0.23279750947464017,0.03636363636363636,trend,shape,0.008465363980896005,Sales
*,BMW,Fullsize,Year,-1,0.3064484803524097,0.01818181818181818,trend,shape,0.005571790551861994,Sales
*,*,MPV,Year,-1,0.049889673834931925,0.01818181818181818,trend,shape,0.000907084978816944,Sales
*,BMW,Subcompact,Year,-1,0.10576493699400225,0.01818181818181818,trend,shape,0.0019229988544364044,Sales
*,Ford,Fullsize,Year,-1,0.10070742268165822,0.03636363636363636,trend,shape,0.0036620880975148443,Sales
*,Ford,Sporty,Year,-1,0.675499150956012,0.01818181818181818,trend,shape,0.012281802744654763,Sales
*,Ford,Subcompact,Year,-1,0.5334415654753075,0.01818181818181818,trend,shape,0.009698937554096499,Sales
*,Ford,Pickup,Year,-1,0.07505101280090798,0.01818181818181818,trend,shape,0.0013645638691074178,Sales
*,GMC,Pickup,Year,-1,0.4910628601610808,0.03636363636363636,trend,shape,0.017856831278584756,Sales
*,Honda,Midsize,Year,-1,0.9349328475211149,0.01818181818181818,trend,shape,0.016998779045838453,Sales
*,Hyundai,Midsize,Year,-1,0.61892880124687,0.01818181818181818,trend,shape,0.011253250931761272,Sales
*,Hyundai,Subcompact,Year,-1,0.3130342391856884,0.01818181818181818,trend,shape,0.0056915316215579706,Sales
*,Mazda,Compact,Year,-1,0.4873804528924771,0.01818181818181818,trend,shape,0.00886146277986322,Sales
*,*,Fullsize,Year,-1,0.11772373429552907,0.05454545454545454,trend,shape,0.006421294597937949,Sales
*,Ford,*,Year,-1,0.048710726217095046,0.2,trend,shape,0.00974214524341901,Sales
*,BMW,Midsize,Year,-1,0.13650354971886036,0.014545454545454545,trend,shape,0.001985506177728878,Sales
*,Volkswagen,Compact,Year,-1,0.7780756328314207,0.01818181818181818,trend,shape,0.014146829687844012,Sales
*,Volkswagen,Sporty,Year,-1,0.7103480972630396,0.01818181818181818,trend,shape,0.012915419950237083,Sales
*,*,Sporty,Year,-1,0.7108030755221594,0.07272727272727272,trend,shape,0.051694769128884314,Sales
