Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,*,*,ME,Year,2002,0.24147412,0.025464088,top1,point,0.006148918,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Year,2003,0.053294879,0.145300807,top1,point,0.007743789,,,,,CO2 (kt)
*,*,*,IN,Year,2008,0.2765274,0.024394985,top1,point,0.006745882,,,,,CO2 (kt)
*,*,*,NC,Year,2007,0.225135357,0.027359316,top1,point,0.006159549,,,,,CO2 (kt)
*,Coal,1995,*,Producer Type,Electric Utility,0.990929647,0.005880066,top1,point,0.005826732,,,,,CO2 (kt)
*,*,*,PA,Year,2007,0.351914991,0.035231801,top1,point,0.012398599,,,,,CO2 (kt)
*,*,*,OH,Year,2005,0.284224816,0.025998639,top1,point,0.007389458,,,,,CO2 (kt)
*,*,*,*,Year,2007,0.301934587,1,top1,point,0.301934587,,,,,CO2 (kt)
Electric Utility,Coal,*,*,Year,1998,0.219608556,0.051414132,top1,point,0.011290983,,,,,CO2 (kt)
*,*,*,AK,Year,2004,0.393121429,0.01574497,top1,point,0.006189685,,,,,CO2 (kt)
*,*,*,LA,Year,1992,1,0.022110992,change point,shape,0.022110992,,,,,CO2 (kt)
*,*,*,NJ,Year,2014,1,0.023617456,change point,shape,0.023617456,,,,,CO2 (kt)
*,*,*,GA,Year,2004,1,0.022937117,change point,shape,0.022937117,,,,,CO2 (kt)
*,*,*,MA,Year,2011,1,0.023811838,change point,shape,0.023811838,,,,,CO2 (kt)
Utility Sector Cogen,Coal,*,*,Year,1999,1,0.024443581,change point,shape,0.024443581,,,,,CO2 (kt)
Utility Sector Non-Cogen,Other,*,*,Year,2013,1,0.023082904,change point,shape,0.023082904,,,,,CO2 (kt)
*,*,*,IN,Year,2014,1,0.024394985,change point,shape,0.024394985,,,,,CO2 (kt)
*,*,*,MD,Year,2008,1,0.024249198,change point,shape,0.024249198,,,,,CO2 (kt)
*,*,*,NC,Year,1996,1,0.027359316,change point,shape,0.027359316,,,,,CO2 (kt)
*,*,*,VA,Year,2000,1,0.029205948,change point,shape,0.029205948,,,,,CO2 (kt)
*,*,*,OH,Year,2014,1,0.025998639,change point,shape,0.025998639,,,,,CO2 (kt)
*,*,*,WA,Year,1991,1,0.024686558,change point,shape,0.024686558,,,,,CO2 (kt)
*,*,*,FL,Year,1993,1,0.031732919,change point,shape,0.031732919,,,,,CO2 (kt)
*,*,*,IL,Year,1996,1,0.027942463,change point,shape,0.027942463,,,,,CO2 (kt)
Utility Sector Cogen,Petroleum,*,*,Year,2014,1,0.028185441,change point,shape,0.028185441,,,,,CO2 (kt)
Electric Utility,Petroleum,*,*,Year,2008,1,0.063514433,change point,shape,0.063514433,,,,,CO2 (kt)
*,*,*,ME,Year,1991,1,0.025464088,change point,shape,0.025464088,,,,,CO2 (kt)
*,*,*,MN,Year,2008,1,0.028574205,change point,shape,0.028574205,,,,,CO2 (kt)
*,*,*,WI,Year,1996,1,0.030129264,change point,shape,0.030129264,,,,,CO2 (kt)
*,*,*,CA,Year,1999,1,0.038925066,change point,shape,0.038925066,,,,,CO2 (kt)
Utility Sector Non-Cogen,Petroleum,*,*,Year,1991,1,0.034162698,change point,shape,0.034162698,,,,,CO2 (kt)
*,*,*,NY,Year,2001,1,0.031587132,change point,shape,0.031587132,,,,,CO2 (kt)
Industrial Cogen,Other,*,*,Year,1998,1,0.029060161,change point,shape,0.029060161,,,,,CO2 (kt)
*,*,*,PA,Year,2014,1,0.035231801,change point,shape,0.035231801,,,,,CO2 (kt)
Industrial Cogen,Petroleum,*,*,Year,2014,1,0.051268345,change point,shape,0.051268345,,,,,CO2 (kt)
*,Other,*,*,Year,1991,1,0.103994557,change point,shape,0.103994557,,,,,CO2 (kt)
Utility Sector Cogen,Natural Gas,*,*,Year,2001,1,0.038487705,change point,shape,0.038487705,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Year,2013,1,0.145300807,change point,shape,0.145300807,,,,,CO2 (kt)
Commercial Non-Cogen,*,*,*,Year,1995,1,0.046846146,change point,shape,0.046846146,,,,,CO2 (kt)
*,Other Biomass,*,*,Year,1996,0.5,0.100009719,change point,shape,0.05000486,,,,,CO2 (kt)
